GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Practica_JDBC_1,datos,ClienteDAO,268,0,4,0,96,0,8,0,6,0
Practica_JDBC_1,datos,FabricaDAO,254,0,4,0,92,0,8,0,6,0
Practica_JDBC_1,datos,ArticuloDAO,232,0,4,0,88,0,8,0,6,0
Practica_JDBC_1,datos,DetallePedidoDAO,254,0,4,0,92,0,8,0,6,0
Practica_JDBC_1,datos,DireccionDAO,298,0,4,0,102,0,8,0,6,0
Practica_JDBC_1,datos,ArticuloFabricaDAO,276,0,4,0,96,0,8,0,6,0
Practica_JDBC_1,datos,Conexion,17,0,0,0,8,0,5,0,5,0
Practica_JDBC_1,datos,PedidoDAO,323,0,4,0,107,0,8,0,6,0
Practica_JDBC_1,domain,Fabrica,56,0,0,0,22,0,10,0,10,0
Practica_JDBC_1,domain,DetallePedido,56,0,0,0,22,0,10,0,10,0
Practica_JDBC_1,domain,Articulo,41,0,0,0,17,0,8,0,8,0
Practica_JDBC_1,domain,Cliente,74,0,0,0,29,0,13,0,13,0
Practica_JDBC_1,domain,Pedido,116,0,0,0,42,0,18,0,18,0
Practica_JDBC_1,domain,ArticuloFabrica,71,0,0,0,27,0,12,0,12,0
Practica_JDBC_1,domain,Direccion,106,0,0,0,40,0,17,0,17,0
Practica_JDBC_1,jjslnb.practica_jdbc_1,Menu,41,0,11,0,20,0,12,0,3,0
Practica_JDBC_1,jjslnb.practica_jdbc_1,MenuArticulos,67,0,11,0,28,0,13,0,5,0
